Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Take_Ons_Attempted,Take_Ons_Succ,Take_Ons_Succ%,Tackled_Take_Ons,Tackled_Take_Ons%,Touches_per_90,Touches_Def_Pen_per_90,Touches_Def_3rd_per_90,Touches_Mid_3rd_per_90,Touches_Att_3rd_per_90,Touches_Att_Pen_per_90,Tocuhes_Live_Balls_per_90,Take_Ons_Attempted_per_90,Take_Ons_Succ_per_90,Tackled_Take_Ons_per_90,Carries_per_90,Total_Distance_per_90,Progressive_Distance_Carried_per_90,Progressive_Carries_per_90,1/3_Carries_per_90,Carries_Penalty_Area_per_90,Miscontrols_per_90,Dispossessed_per_90,Passes_Received_per_90,Progressive_Passes_Received_per_90,Shot_Creating_Action_per90,Goal_Creating_Action_90,Pass_Live_Shot_per_90,Pass_Dead_Shot_per_90,Take_Ons_Shot_per_90,Shot-Shot_per_90,Fouls_drawn_Shot_per_90,Defensive_Shot_per_90,Pass_Live_Goal_per_90,Pass_Dead_Goal_per_90,Take_Ons_Goal_per_90,Shot_Goal_per_90,Fouls_Drawn_Goal_per_90,Defensive_Goal_per_90,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists_per_90,xAG_per_90,xA_per_90,A-xAG_per_90,Key_Passes_per_90,Passes_1/3_per_90,Passes_Penalty_Area_per_90,Crosses_Penalty_Area_per_90,Progressive_Passes_per_90,Passes_Attempted_per_90,Live_Ball_Passes_per_90,Dead_Ball_Passes_per_90,Free_Kick_Passes_per_90,Through_Balls_per_90,Switches_per_90,Crosses_per_90,Throw_Ins_Taken_per_90,Corner_Kicks_per_90,In_Corner_Kicks_per_90,Out_Corner_Kicks_per_90,Str_Corner_Kicks_per_90,Passes_Cmp_per_90,Passes_Off_per_90,Passes_Blocked_per_90,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Npxg_per_shot,Xg_net,Npxg_net,Percentage_of_Aerials_Won,Yellow_Cards_per_90,Red_Cards_per_90,Second_Yellow_Card_per_90,Fouls_Committed_per_90,Fouls_Drawn_per_90,Offsides_per_90,Interceptions_per_90,Tackles_Won_per_90,Penalty_Kicks_Won_per_90,Penalty_Kicks_Conceded_per_90,Ball_Recoveries_per_90,Aerials_Won_per_90,Aerials_Lost_per_90,Tackles_per_90,Tackles_Def_3rd_per_90,Tackles_Mid_3rd_per_90,Tackles_Att_3rd_per_90,Dribblers_Tackled_per_90,Dribblers_Challenged_per_90,Dribblers_Tackle_Lost_per_90,Blocks_per_90,Shots_Blocked_per_90,Tackles+Interceptions_per_90,Clearances_per_90,Errors_Shots_per_90,Dribblers_Tackle_W%
Douglas,br BRA,MF,Nantes,fr Ligue 1,28.0,1997.0,25,25,2082,23.1,0.17,0.26,0.17,0.26,0.14,0.2,0.14,0.2,19.0,11.0,57.9,7.0,36.8,56.28,2.64,14.24,33.07,9.22,1.82,56.28,0.82,0.48,0.3,27.14,121.6,55.67,0.52,0.43,0.04,0.69,0.56,35.41,1.34,1.21,0.13,1.0,0.04,0.04,0.13,0.0,0.0,0.09,0.0,0.0,0.04,0.0,0.0,896.0,1042.0,86.0,15152.0,4499.0,393.0,439.0,89.5,410.0,451.0,90.9,64.0,91.0,70.3,0.09,0.06,0.04,0.03,0.56,3.9,0.43,0.04,4.63,45.11,42.25,2.73,2.12,0.09,0.13,0.39,0.35,0.13,0.09,0.0,0.0,38.79,0.13,0.69,1.34,0.56,0.13,0.31,0.1,0.8,0.8,39.6,0.3,0.0,0.0,1.65,1.39,0.0,1.17,1.56,0.0,0.04,4.33,0.91,1.39,2.68,1.21,1.17,0.3,1.08,1.77,0.69,1.99,0.43,3.85,1.86,0.0,61.0
Ismaël Doukouré,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,21.0,2003.0,27,27,2318,25.8,0.04,0.08,0.04,0.08,0.02,0.06,0.02,0.06,15.0,11.0,73.3,4.0,26.7,65.04,7.09,28.8,33.8,2.75,0.16,65.04,0.58,0.43,0.16,38.26,153.26,80.85,0.5,0.16,0.0,0.74,0.66,45.97,0.35,0.78,0.16,0.66,0.0,0.0,0.0,0.04,0.08,0.16,0.0,0.0,0.0,0.0,0.0,1270.0,1439.0,88.3,21871.0,6449.0,533.0,569.0,93.7,645.0,702.0,91.9,76.0,127.0,59.8,0.04,0.04,0.02,0.0,0.39,3.53,0.04,0.0,3.88,55.78,51.55,3.99,1.74,0.08,0.08,0.04,0.35,0.0,0.0,0.0,0.0,49.22,0.23,0.47,0.12,0.04,0.33,1.0,0.19,0.4,0.4,61.1,0.27,0.0,0.0,0.93,0.66,0.0,0.93,0.7,0.0,0.0,3.45,0.85,0.54,1.32,0.62,0.62,0.08,0.58,0.89,0.31,1.12,0.47,2.25,3.76,0.12,65.2
Kamory Doumbia,ml MLI,"MF,FW",Brest,fr Ligue 1,22.0,2003.0,26,10,1089,12.1,0.17,0.33,0.17,0.33,0.19,0.27,0.19,0.27,29.0,16.0,55.2,13.0,44.8,59.83,1.32,10.41,32.56,17.6,2.31,59.83,2.4,1.32,1.07,29.34,139.17,55.04,0.83,0.91,0.17,3.06,1.65,37.27,3.72,4.05,0.5,2.56,0.91,0.17,0.08,0.17,0.17,0.17,0.08,0.08,0.08,0.0,0.08,443.0,561.0,79.0,7417.0,1729.0,205.0,225.0,91.1,178.0,219.0,81.3,39.0,81.0,48.1,0.17,0.08,0.11,0.08,1.82,3.55,0.41,0.08,4.21,46.36,41.24,4.71,1.4,0.33,0.08,3.88,0.25,2.23,0.99,1.24,0.0,36.61,0.41,0.41,1.57,0.74,0.11,0.22,0.13,-0.3,-0.3,30.0,0.08,0.0,0.0,1.4,1.16,0.08,1.9,1.9,0.0,0.0,5.87,0.74,1.74,2.81,1.16,1.32,0.33,0.91,2.23,1.32,1.16,0.08,4.71,0.99,0.08,40.7
Artem Dovbyk,ua UKR,FW,Roma,it Serie A,27.0,1997.0,29,24,2173,24.1,0.46,0.54,0.37,0.46,0.47,0.57,0.41,0.5,17.0,7.0,41.2,10.0,58.8,24.65,0.62,1.12,9.71,13.82,5.68,24.56,0.71,0.29,0.41,13.36,50.17,16.31,0.87,0.33,0.46,3.11,1.16,18.96,6.76,1.95,0.25,1.62,0.0,0.17,0.17,0.0,0.0,0.12,0.0,0.08,0.04,0.0,0.0,287.0,387.0,74.2,3134.0,383.0,188.0,247.0,76.1,55.0,70.0,78.6,5.0,5.0,100.0,0.08,0.1,0.06,-0.01,0.87,0.58,0.17,0.0,0.62,16.06,14.56,1.33,0.0,0.08,0.0,0.0,0.04,0.0,0.0,0.0,0.0,11.91,0.17,0.29,2.4,0.95,0.16,0.39,0.17,-0.4,-0.8,42.4,0.0,0.0,0.0,1.2,0.5,0.91,0.08,0.08,0.0,0.0,1.0,1.62,2.2,0.17,0.0,0.04,0.12,0.0,0.17,0.17,0.29,0.12,0.25,0.5,0.0,0.0
Flynn Downes,eng ENG,MF,Southampton,eng Premier League,26.0,1999.0,22,20,1701,18.9,0.05,0.05,0.05,0.05,0.03,0.08,0.03,0.08,14.0,5.0,35.7,7.0,50.0,57.88,3.92,17.25,30.85,10.26,1.06,57.88,0.74,0.26,0.37,27.72,151.38,80.37,1.22,1.06,0.21,0.63,0.9,41.32,1.48,1.48,0.11,1.27,0.11,0.0,0.05,0.0,0.05,0.05,0.05,0.0,0.0,0.0,0.0,821.0,912.0,90.0,12090.0,2432.0,469.0,505.0,92.9,292.0,316.0,92.4,31.0,46.0,67.4,0.0,0.05,0.06,-0.05,0.74,2.65,0.53,0.0,2.96,48.25,46.88,1.32,1.32,0.37,0.05,0.16,0.0,0.0,0.0,0.0,0.0,43.44,0.05,0.63,0.53,0.16,0.1,0.33,0.06,0.4,0.4,47.8,0.53,0.0,0.0,2.33,1.64,0.0,1.59,1.16,0.0,0.0,3.65,0.58,0.63,2.17,0.95,1.01,0.21,0.69,1.64,0.95,1.11,0.26,3.76,1.85,0.21,41.9
Radu Drăgușin,ro ROU,DF,Tottenham,eng Premier League,23.0,2002.0,16,14,1252,13.9,0.0,0.0,0.0,0.0,0.01,0.04,0.01,0.04,2.0,0.0,0.0,0.0,0.0,69.14,10.65,36.69,30.94,2.16,0.86,69.14,0.14,0.0,0.0,44.82,240.94,119.86,0.5,0.22,0.0,0.58,0.14,48.13,0.14,0.58,0.07,0.58,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,716.0,840.0,85.2,13638.0,5250.0,223.0,245.0,91.0,437.0,470.0,93.0,47.0,107.0,43.9,0.0,0.03,0.01,-0.03,0.29,3.74,0.14,0.07,2.66,60.43,57.05,3.38,2.88,0.07,0.22,0.07,0.22,0.0,0.0,0.0,0.0,51.51,0.0,0.36,0.36,0.07,0.0,0.0,0.02,-0.1,-0.1,60.0,0.07,0.0,0.0,0.43,0.72,0.0,1.08,0.43,0.0,0.0,3.45,2.37,1.58,0.72,0.58,0.14,0.0,0.43,0.86,0.43,1.58,1.15,1.8,3.53,0.29,50.0
Domingos Duarte,pt POR,DF,Getafe,es La Liga,30.0,1995.0,17,16,1441,16.0,0.06,0.06,0.06,0.06,0.01,0.02,0.01,0.02,0.0,0.0,0.0,0.0,0.0,43.81,5.69,22.62,20.56,1.12,0.44,43.81,0.0,0.0,0.0,18.25,78.56,33.69,0.19,0.06,0.0,0.12,0.06,20.44,0.19,0.31,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.0,512.0,77.5,8811.0,2966.0,94.0,116.0,81.0,231.0,261.0,88.5,69.0,128.0,53.9,0.0,0.01,0.01,-0.01,0.12,2.19,0.0,0.0,2.31,32.0,30.25,1.62,1.56,0.0,0.38,0.0,0.06,0.0,0.0,0.0,0.0,24.81,0.12,0.0,0.19,0.06,0.33,1.0,0.07,0.8,0.8,64.9,0.19,0.06,0.06,1.19,0.69,0.0,0.69,0.62,0.0,0.06,2.5,1.5,0.81,1.31,1.06,0.19,0.06,0.75,0.94,0.19,1.25,0.69,2.0,7.62,0.06,80.0
Marvin Ducksch,de GER,FW,Werder Bremen,de Bundesliga,31.0,1994.0,28,26,2085,23.2,0.3,0.6,0.26,0.56,0.39,0.66,0.32,0.6,17.0,6.0,35.3,10.0,58.8,39.7,1.16,3.06,16.42,20.6,4.05,39.61,0.73,0.26,0.43,19.09,65.09,29.53,0.86,0.78,0.43,1.12,0.43,23.79,5.91,3.45,0.39,1.94,1.25,0.04,0.22,0.0,0.0,0.34,0.04,0.0,0.0,0.0,0.0,462.0,748.0,61.8,8277.0,2628.0,189.0,254.0,74.4,157.0,241.0,65.1,76.0,169.0,45.0,0.3,0.28,0.31,0.03,1.98,1.47,1.12,0.3,3.1,32.24,23.75,8.28,1.9,0.26,0.52,5.95,0.34,3.88,1.42,1.9,0.0,19.91,0.22,0.82,2.63,0.99,0.1,0.26,0.12,-2.0,-1.5,39.1,0.13,0.0,0.0,0.26,0.73,0.6,0.34,0.26,0.0,0.0,2.41,0.78,1.21,0.39,0.13,0.22,0.04,0.13,0.6,0.47,0.26,0.04,0.73,0.99,0.04,21.4
Ondrej Duda,sk SVK,MF,Hellas Verona,it Serie A,30.0,1994.0,24,23,2046,22.7,0.04,0.13,0.04,0.13,0.03,0.16,0.03,0.16,38.0,21.0,55.3,12.0,31.6,54.76,2.73,11.32,32.56,11.63,0.18,54.76,1.67,0.93,0.53,25.55,135.24,52.38,0.88,0.97,0.09,1.89,0.93,28.9,1.01,2.73,0.26,1.63,0.66,0.09,0.13,0.18,0.04,0.18,0.09,0.0,0.0,0.0,0.0,787.0,1015.0,77.5,13982.0,4517.0,376.0,417.0,90.2,288.0,351.0,82.1,96.0,190.0,50.5,0.09,0.13,0.11,-0.04,1.32,3.96,0.97,0.22,4.27,44.71,38.85,5.64,2.25,0.13,0.62,3.44,0.31,2.51,0.97,1.28,0.0,34.67,0.22,0.44,0.88,0.18,0.05,0.25,0.04,0.2,0.2,57.1,0.44,0.04,0.04,1.81,2.2,0.0,1.28,1.01,0.0,0.0,7.09,0.53,0.4,1.72,0.75,0.84,0.13,1.19,2.56,1.37,1.01,0.31,3.0,1.19,0.18,46.6
Denzel Dumfries,nl NED,"DF,FW",Inter,it Serie A,29.0,1996.0,25,19,1761,19.6,0.31,0.41,0.31,0.41,0.26,0.39,0.26,0.39,37.0,9.0,24.3,24.0,64.9,46.89,1.53,7.6,19.23,20.77,4.23,46.89,1.89,0.46,1.22,24.08,121.28,55.97,2.3,1.17,0.51,1.28,0.51,29.8,7.91,2.66,0.2,1.84,0.26,0.15,0.15,0.2,0.05,0.1,0.0,0.0,0.05,0.05,0.0,530.0,727.0,72.9,8580.0,2689.0,284.0,326.0,87.1,202.0,297.0,68.0,38.0,65.0,58.5,0.1,0.13,0.13,-0.03,1.02,1.07,0.92,0.41,2.3,37.09,30.36,6.58,0.26,0.05,0.15,2.6,6.33,0.0,0.0,0.0,0.0,27.04,0.15,1.17,1.69,0.87,0.18,0.35,0.15,0.9,0.9,76.8,0.2,0.0,0.0,2.6,0.82,0.26,0.31,0.92,0.1,0.0,3.01,2.7,0.82,1.28,0.61,0.46,0.2,0.71,1.22,0.51,1.28,0.26,1.58,1.07,0.05,58.3
Alfred Duncan,gh GHA,MF,Venezia,it Serie A,32.0,1993.0,16,12,957,10.6,0.0,0.0,0.0,0.0,0.07,0.18,0.07,0.18,22.0,13.0,59.1,8.0,36.4,55.38,1.42,8.77,33.96,13.4,0.57,55.38,2.08,1.23,0.75,29.34,138.49,63.77,1.04,1.32,0.0,1.32,1.32,35.94,1.13,3.01,0.19,2.36,0.38,0.09,0.19,0.0,0.0,0.09,0.0,0.0,0.09,0.0,0.0,404.0,498.0,81.1,6776.0,1898.0,193.0,219.0,88.1,167.0,186.0,89.8,32.0,64.0,50.0,0.0,0.1,0.09,-0.1,1.04,3.49,1.79,0.38,5.0,46.98,43.68,3.02,1.51,0.38,0.57,1.6,0.19,1.04,0.09,0.66,0.0,38.11,0.28,0.66,1.41,0.38,0.0,0.0,0.05,-0.8,-0.8,55.6,0.19,0.0,0.0,2.08,1.04,0.0,0.75,0.75,0.0,0.0,4.91,0.94,0.75,1.6,0.38,1.04,0.19,0.47,1.32,0.85,0.66,0.19,2.36,0.75,0.0,35.7
Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,33.0,1991.0,23,21,1903,21.1,0.0,0.0,0.0,0.0,0.03,0.06,0.03,0.06,1.0,0.0,0.0,1.0,100.0,93.89,11.28,44.31,45.07,4.98,0.85,93.89,0.05,0.0,0.05,59.24,274.69,149.81,0.95,0.85,0.0,0.28,0.14,68.96,0.14,0.85,0.14,0.76,0.0,0.0,0.09,0.0,0.0,0.09,0.0,0.0,0.05,0.0,0.0,1661.0,1830.0,90.8,30964.0,9988.0,615.0,638.0,96.4,894.0,942.0,94.9,139.0,222.0,62.6,0.0,0.02,0.05,-0.02,0.28,7.2,0.28,0.0,6.49,86.73,80.95,5.64,2.84,0.09,0.47,0.19,0.47,0.0,0.0,0.0,0.0,78.72,0.14,0.33,0.47,0.09,0.0,0.0,0.07,-0.7,-0.7,62.7,0.24,0.0,0.0,0.33,0.38,0.09,0.57,0.43,0.0,0.0,4.69,2.23,1.33,0.76,0.38,0.28,0.09,0.47,0.85,0.38,1.14,0.76,1.33,3.27,0.09,55.6
Pablo Durán,es ESP,"FW,MF",Celta Vigo,es La Liga,23.0,2001.0,22,13,1154,12.8,0.31,0.62,0.31,0.62,0.24,0.45,0.24,0.45,37.0,10.0,27.0,25.0,67.6,38.67,0.47,4.22,17.19,17.73,4.06,38.67,2.89,0.78,1.95,22.73,105.31,41.88,1.48,0.94,0.86,2.97,1.41,27.19,8.44,1.87,0.23,1.56,0.0,0.16,0.08,0.08,0.0,0.23,0.0,0.0,0.0,0.0,0.0,243.0,346.0,70.2,3560.0,655.0,132.0,164.0,80.5,86.0,108.0,79.6,13.0,32.0,40.6,0.31,0.21,0.07,0.1,1.09,1.48,0.78,0.23,2.11,27.03,25.31,1.56,0.0,0.08,0.16,1.41,0.55,0.08,0.0,0.08,0.0,18.98,0.16,1.41,1.48,0.55,0.21,0.57,0.16,1.0,1.0,25.0,0.23,0.0,0.0,2.27,1.17,0.31,0.62,0.55,0.0,0.0,3.12,0.62,1.88,0.94,0.23,0.55,0.16,0.23,0.94,0.7,0.62,0.16,1.56,0.7,0.0,25.0
Hugo Duro,es ESP,FW,Valencia,es La Liga,25.0,1999.0,26,22,1888,21.0,0.38,0.48,0.38,0.48,0.35,0.41,0.35,0.41,20.0,7.0,35.0,13.0,65.0,26.95,0.62,2.14,13.71,11.38,3.9,26.95,0.95,0.33,0.62,12.33,43.67,15.48,0.52,0.33,0.29,2.52,1.48,19.86,3.67,1.29,0.14,0.9,0.0,0.05,0.19,0.14,0.0,0.05,0.0,0.0,0.05,0.05,0.0,262.0,375.0,69.9,3609.0,450.0,150.0,192.0,78.1,86.0,117.0,73.5,9.0,18.0,50.0,0.1,0.06,0.02,0.04,0.62,0.81,0.14,0.0,1.29,17.86,16.1,1.71,0.05,0.0,0.05,0.33,0.05,0.0,0.0,0.0,0.0,12.48,0.05,0.67,2.1,0.67,0.18,0.57,0.17,0.6,0.6,36.7,0.14,0.0,0.0,1.52,2.0,0.33,0.48,0.33,0.0,0.05,1.9,2.62,4.52,0.57,0.19,0.33,0.05,0.19,0.52,0.33,0.52,0.1,1.05,0.48,0.0,36.4
Paulo Dybala,ar ARG,"FW,MF",Roma,it Serie A,31.0,1993.0,24,16,1417,15.7,0.38,0.57,0.19,0.38,0.4,0.72,0.25,0.57,43.0,11.0,25.6,17.0,39.5,57.9,0.38,4.27,26.43,27.96,4.78,57.71,2.74,0.7,1.08,37.9,202.55,93.76,2.61,2.68,1.08,2.55,1.78,45.16,7.77,5.34,0.51,2.99,1.21,0.06,0.38,0.7,0.0,0.32,0.06,0.0,0.0,0.13,0.0,596.0,729.0,81.8,9980.0,2382.0,315.0,346.0,91.0,177.0,213.0,83.1,72.0,114.0,63.2,0.19,0.32,0.33,-0.13,2.55,2.99,1.66,0.32,5.03,46.43,41.08,5.16,1.66,0.13,1.02,3.95,0.32,2.29,0.7,0.89,0.13,37.96,0.19,1.02,2.99,0.95,0.06,0.2,0.09,-0.4,-1.0,32.0,0.13,0.0,0.0,0.38,3.82,0.38,0.13,0.45,0.13,0.0,4.01,0.51,1.08,1.08,0.19,0.57,0.32,0.51,1.21,0.7,0.76,0.06,1.21,0.13,0.0,42.1
Aron Dønnum,no NOR,"DF,MF",Toulouse,fr Ligue 1,27.0,1998.0,29,28,2419,26.9,0.04,0.11,0.04,0.11,0.07,0.23,0.07,0.23,97.0,45.0,46.4,44.0,45.4,52.04,1.9,10.26,23.42,19.33,2.38,52.04,3.61,1.67,1.64,28.96,194.01,110.82,3.31,1.78,0.86,1.49,1.23,30.56,4.94,3.13,0.37,2.12,0.56,0.11,0.19,0.11,0.04,0.26,0.07,0.0,0.04,0.0,0.0,792.0,1105.0,71.7,14263.0,4971.0,381.0,440.0,86.6,303.0,404.0,75.0,99.0,190.0,52.1,0.07,0.16,0.2,-0.09,1.49,2.38,1.71,0.48,4.42,41.08,34.31,6.47,1.12,0.26,0.71,4.13,4.24,1.12,0.78,0.19,0.0,29.44,0.3,1.52,1.0,0.15,0.04,0.25,0.07,-0.8,-0.8,40.7,0.15,0.0,0.0,1.38,1.75,0.0,0.97,1.19,0.0,0.0,5.72,0.41,0.59,1.9,0.78,0.86,0.26,1.04,1.82,0.78,1.04,0.11,2.86,1.26,0.04,57.1
Éderson,br BRA,MF,Atalanta,it Serie A,25.0,1999.0,32,29,2576,28.6,0.14,0.17,0.14,0.17,0.12,0.26,0.12,0.26,47.0,21.0,44.7,23.0,48.9,70.91,1.99,15.49,38.81,17.38,1.75,70.91,1.64,0.73,0.8,46.15,216.36,99.65,1.12,1.64,0.35,1.43,1.33,52.17,2.41,3.0,0.35,2.34,0.07,0.17,0.21,0.07,0.14,0.31,0.0,0.0,0.03,0.0,0.0,1485.0,1713.0,86.7,27428.0,7349.0,570.0,645.0,88.4,749.0,806.0,92.9,147.0,198.0,74.2,0.03,0.14,0.15,-0.1,1.12,5.66,1.26,0.17,6.26,59.9,57.9,1.82,1.61,0.14,0.98,0.8,0.14,0.07,0.0,0.03,0.0,51.92,0.17,0.87,1.19,0.38,0.12,0.36,0.1,0.6,0.6,56.9,0.17,0.03,0.03,1.05,1.68,0.0,1.19,1.05,0.0,0.0,5.8,1.43,1.08,1.68,0.56,0.94,0.17,0.66,1.01,0.35,1.01,0.21,2.87,1.05,0.03,65.5
Johannes Eggestein,de GER,FW,St. Pauli,de Bundesliga,26.0,1998.0,25,22,1823,20.3,0.15,0.35,0.1,0.3,0.23,0.33,0.15,0.26,17.0,7.0,41.2,10.0,58.8,34.63,0.3,2.17,18.03,14.68,3.74,34.53,0.84,0.34,0.49,18.52,81.67,30.3,1.23,0.84,0.39,2.46,1.38,26.26,6.65,2.12,0.2,1.77,0.0,0.0,0.2,0.1,0.05,0.2,0.0,0.0,0.0,0.0,0.0,397.0,540.0,73.5,5507.0,1038.0,216.0,268.0,80.6,122.0,152.0,80.3,22.0,39.0,56.4,0.2,0.1,0.06,0.09,1.18,1.23,0.44,0.1,2.12,26.6,25.07,1.38,0.0,0.2,0.1,1.72,0.0,0.0,0.0,0.0,0.0,19.56,0.15,1.38,1.68,0.49,0.06,0.2,0.09,-1.7,-1.1,25.5,0.15,0.0,0.0,0.54,0.59,0.69,0.0,0.15,0.0,0.0,2.81,1.38,4.04,0.25,0.0,0.1,0.15,0.05,0.25,0.2,0.25,0.0,0.25,0.39,0.0,20.0
Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,28.0,1996.0,29,29,2485,27.6,0.04,0.04,0.04,0.04,0.06,0.12,0.06,0.12,22.0,10.0,45.5,12.0,54.5,56.09,1.99,13.22,34.2,9.17,1.49,56.09,0.8,0.36,0.43,25.8,134.96,66.74,1.01,0.76,0.11,0.8,0.65,35.22,1.16,1.63,0.14,1.3,0.0,0.04,0.11,0.14,0.04,0.14,0.0,0.0,0.0,0.0,0.0,1078.0,1291.0,83.5,16797.0,4639.0,546.0,616.0,88.6,469.0,534.0,87.8,38.0,64.0,59.4,0.0,0.05,0.09,-0.05,0.65,4.2,0.54,0.11,4.67,46.78,45.72,0.91,0.8,0.07,0.0,0.33,0.11,0.0,0.0,0.0,0.0,39.06,0.14,1.12,1.12,0.33,0.03,0.11,0.06,-0.7,-0.7,51.0,0.14,0.0,0.0,0.65,0.8,0.04,1.16,0.94,0.0,0.0,5.07,1.81,1.74,1.81,0.62,0.91,0.29,0.8,1.45,0.65,1.12,0.36,2.97,1.59,0.04,55.0
Kingsley Ehizibue,nl NED,DF,Udinese,it Serie A,29.0,1995.0,29,26,2171,24.1,0.0,0.04,0.0,0.04,0.05,0.13,0.05,0.13,29.0,11.0,37.9,15.0,51.7,46.64,2.74,13.78,19.09,14.32,1.41,46.64,1.2,0.46,0.62,21.83,112.61,58.34,2.12,1.33,0.37,1.04,0.83,23.82,4.69,1.95,0.08,1.49,0.12,0.04,0.12,0.12,0.04,0.04,0.0,0.0,0.04,0.0,0.0,668.0,870.0,76.8,11342.0,3585.0,315.0,367.0,85.8,280.0,350.0,80.0,55.0,104.0,52.9,0.04,0.08,0.07,-0.04,0.79,1.12,0.79,0.62,1.91,36.1,27.88,8.13,0.29,0.04,0.04,2.37,7.84,0.0,0.0,0.0,0.0,27.72,0.08,0.83,0.58,0.17,0.0,0.0,0.09,-1.2,-1.2,48.2,0.17,0.0,0.0,1.12,1.24,0.21,0.79,1.33,0.0,0.0,3.98,1.12,1.2,2.03,1.12,0.75,0.17,1.04,1.58,0.54,1.37,0.37,2.82,2.53,0.21,65.8
Chidera Ejuke,ng NGA,FW,Sevilla,es La Liga,27.0,1998.0,22,9,949,10.5,0.19,0.28,0.19,0.28,0.1,0.26,0.1,0.26,81.0,43.0,53.1,33.0,40.7,56.48,0.48,6.19,24.86,27.05,3.71,56.48,7.71,4.1,3.14,38.48,306.86,170.48,6.86,3.24,2.38,3.14,2.0,41.14,9.14,3.7,0.19,2.19,0.48,0.76,0.0,0.29,0.0,0.19,0.0,0.0,0.0,0.0,0.0,349.0,429.0,81.4,5578.0,1000.0,193.0,214.0,90.2,115.0,138.0,83.3,31.0,47.0,66.0,0.1,0.15,0.08,-0.06,1.62,1.52,1.71,0.29,3.43,40.86,37.43,3.33,0.0,0.19,0.57,1.81,1.14,2.19,1.05,0.1,0.0,33.24,0.1,1.43,1.9,0.76,0.1,0.25,0.05,0.9,0.9,30.8,0.0,0.0,0.0,0.57,1.52,0.38,0.48,1.24,0.0,0.0,5.71,0.38,0.86,1.81,0.76,0.86,0.19,0.86,1.81,0.95,1.14,0.0,2.29,0.67,0.0,47.4
Hugo Ekitike,fr FRA,FW,Eint Frankfurt,de Bundesliga,22.0,2002.0,29,27,2215,24.6,0.57,0.77,0.53,0.73,0.81,1.02,0.72,0.93,107.0,47.0,43.9,55.0,51.4,37.72,1.06,2.72,15.41,20.61,7.2,37.6,4.35,1.91,2.24,22.97,159.63,83.66,3.37,2.07,1.91,3.41,1.14,27.8,7.8,3.7,0.41,2.24,0.0,0.57,0.73,0.16,0.0,0.28,0.0,0.08,0.0,0.04,0.0,426.0,564.0,75.5,5666.0,1069.0,275.0,331.0,83.1,100.0,132.0,75.8,21.0,34.0,61.8,0.2,0.21,0.2,-0.01,1.59,0.77,1.18,0.16,1.83,22.93,20.89,1.99,0.08,0.16,0.2,0.69,0.0,0.0,0.0,0.0,0.0,17.32,0.04,0.81,4.1,1.54,0.13,0.34,0.17,-6.0,-4.7,44.4,0.04,0.0,0.0,1.3,0.57,0.73,0.28,0.45,0.04,0.0,3.13,1.63,2.03,0.61,0.12,0.28,0.2,0.16,0.45,0.28,0.53,0.04,0.89,0.93,0.0,36.4
Jurgen Ekkelenkamp,nl NED,MF,Udinese,it Serie A,25.0,2000.0,28,16,1576,17.5,0.17,0.29,0.17,0.29,0.11,0.17,0.11,0.17,24.0,7.0,29.2,14.0,58.3,43.31,1.37,7.37,22.86,13.71,1.83,43.31,1.37,0.4,0.8,23.26,120.74,61.71,1.66,1.37,0.17,1.09,0.34,27.89,3.83,1.83,0.34,1.43,0.11,0.11,0.11,0.06,0.0,0.23,0.0,0.06,0.06,0.0,0.0,495.0,612.0,80.9,7652.0,1819.0,263.0,306.0,85.9,190.0,227.0,83.7,26.0,39.0,66.7,0.11,0.06,0.05,0.05,0.74,2.06,0.57,0.11,3.37,34.97,32.8,2.06,0.29,0.11,0.23,0.51,1.49,0.23,0.06,0.06,0.0,28.29,0.11,0.86,1.09,0.46,0.16,0.38,0.1,1.1,1.1,52.0,0.11,0.0,0.0,1.43,0.74,0.11,0.63,1.2,0.0,0.0,4.06,0.74,0.69,1.83,0.51,1.14,0.17,0.91,1.77,0.86,1.37,0.23,2.46,1.2,0.0,51.6
