PlayerName,Team,Pos,Age,MP,Starts,Min,90s,Non_Penalty_Goals,npxG_Non_Penalty_xG,Shots_Total,Assists,xAG_Exp_Assisted_Goals,npxG_plus_xAG,Shot_Creating_Actions,Passes_Attempted,Pass_Completion_Percentage,Progressive_Passes,Progressive_Carries,Successful_Take_Ons,Touches_Att_Pen,Progressive_Passes_Rec,Tackles,Interceptions,Blocks,Clearances,Aerials_Won
Akor Adams,Montpellier,FW,25.0,15.0,13.0,1075.0,11.9,0.25,0.36,2.18,0.08,0.08,0.44,2.09,14.99,62.6,0.5,0.92,0.59,4.1,3.77,0.33,0.08,0.17,0.42,2.34
Albert Grønbaek,Rennes,AM,23.0,16.0,9.0,813.0,9.0,0.22,0.17,2.44,0.11,0.11,0.28,3.21,27.34,62.8,3.32,2.55,1.22,4.54,6.42,2.32,0.44,1.0,0.66,0.44
Aleksandr Golovin,Monaco,AM,28.0,16.0,13.0,1108.0,12.3,0.24,0.19,1.87,0.0,0.19,0.38,3.82,53.29,77.3,9.02,3.09,1.79,2.52,5.69,2.92,0.81,1.14,0.49,0.73
Alexandre Lacazette,Lyon,FW,33.0,18.0,15.0,1256.0,14.0,0.29,0.45,2.29,0.14,0.21,0.66,2.94,25.65,69.8,3.73,0.93,0.64,6.81,7.52,0.64,0.36,0.43,0.36,1.0
Alexsandro Ribeiro,Lille,CB,25.0,17.0,17.0,1530.0,17.0,0.0,0.05,0.65,0.06,0.01,0.06,1.18,78.12,90.4,6.47,0.88,0.12,1.41,0.29,1.12,1.12,0.76,4.41,1.94
Ali Abdi,Nice,FB,31.0,12.0,9.0,807.0,9.0,0.22,0.13,1.78,0.22,0.16,0.28,2.9,41.82,73.1,3.01,2.57,0.78,3.01,6.25,2.68,1.0,1.56,2.9,1.45
Alidu Seidu,Rennes,CB,24.0,11.0,10.0,803.0,8.9,0.0,0.01,0.34,0.0,0.03,0.04,1.35,58.06,82.2,4.6,2.58,1.01,0.56,1.91,2.47,1.57,1.46,1.91,1.01
Amadou Koné,Reims,MF,19.0,11.0,7.0,528.0,5.9,0.0,0.02,0.85,0.0,0.0,0.02,1.88,47.05,90.2,6.31,1.88,1.53,0.17,0.85,3.75,1.36,1.53,1.19,0.85
Amine Gouiri,Marseille,AM,24.0,1.0,0.0,33.0,0.4,0.25,0.32,2.86,0.25,0.12,0.43,2.94,30.7,78.6,3.95,2.1,1.26,4.46,5.72,0.76,0.17,0.67,0.42,0.67
Amine Gouiri,Rennes,AM,24.0,19.0,11.0,1037.0,11.5,0.25,0.32,2.86,0.25,0.12,0.43,2.94,30.7,78.6,3.95,2.1,1.26,4.46,5.72,0.76,0.17,0.67,0.42,0.67
Amine Harit,Marseille,AM,27.0,9.0,8.0,472.0,5.2,0.38,0.13,0.95,0.57,0.25,0.38,5.15,42.9,83.6,6.29,2.29,1.53,2.67,4.0,1.33,0.57,1.14,0.19,0.19
Anass Zaroury,Lens,AM,24.0,15.0,10.0,743.0,8.3,0.0,0.12,2.06,0.12,0.19,0.31,3.76,41.06,64.0,3.76,2.42,0.85,1.82,7.63,1.09,0.12,0.73,0.48,0.24
André Ayew,Le Havre,FW,35.0,13.0,9.0,838.0,9.3,0.32,0.29,1.29,0.0,0.0,0.29,0.64,16.22,76.2,1.07,0.32,0.32,2.26,2.15,1.07,0.21,0.64,1.18,2.26
André Gomes,Lille,MF,31.0,11.0,8.0,644.0,7.2,0.0,0.03,0.7,0.0,0.04,0.07,2.38,64.29,89.6,6.43,0.84,0.84,0.84,1.26,2.1,0.7,0.56,0.98,0.7
Andrey Santos,Strasbourg,MF,20.0,19.0,19.0,1685.0,18.7,0.37,0.18,1.28,0.05,0.11,0.29,1.76,48.55,87.2,4.86,1.01,0.64,1.01,1.01,3.74,0.91,1.39,1.98,0.96
Andy Diouf,Lens,MF,21.0,20.0,16.0,1372.0,15.2,0.07,0.09,1.44,0.07,0.08,0.16,3.41,44.54,76.9,5.44,3.41,1.71,1.97,3.02,1.51,0.59,1.25,0.66,0.72
Angel Gomes,Lille,AM,24.0,13.0,9.0,691.0,7.7,0.13,0.12,1.04,0.13,0.27,0.39,3.65,44.67,80.8,6.12,1.95,0.65,2.34,5.86,1.3,0.0,0.0,0.26,0.65
Angelo Fulgini,Lens,AM,28.0,17.0,10.0,835.0,9.3,0.11,0.22,2.26,0.11,0.26,0.47,4.42,54.86,78.6,6.14,2.48,0.97,4.1,9.7,0.86,0.0,0.97,0.22,0.86
Antoine Joujou,Le Havre,MF,21.0,15.0,6.0,629.0,7.0,0.0,0.06,1.14,0.14,0.29,0.34,3.15,23.9,63.5,1.43,4.29,3.15,3.86,8.16,1.43,1.14,1.29,1.86,0.29
Antoine Mendy,Nice,CB,20.0,11.0,5.0,539.0,6.0,0.0,0.07,0.67,0.0,0.02,0.08,1.34,53.43,77.8,3.34,1.5,0.67,1.17,1.84,4.01,0.83,1.17,3.67,1.5
