PlayerName,Pos,Non_Penalty_Goals,npxG_Non_Penalty_xG,Shots_Total,Assists,xAG_Exp_Assisted_Goals,npxG_plus_xAG,Shot_Creating_Actions,Passes_Attempted,Pass_Completion_Percentage,Progressive_Passes,Progressive_Carries,Successful_Take_Ons,Touches_Att_Pen,Progressive_Passes_Rec,Tackles,Interceptions,Blocks,Clearances,Aerials_Won
Manuel Fuster,AM,0.16,0.06,1.77,0.0,0.16,0.23,5.0,49.68,78.9,4.52,1.61,0.48,2.1,8.39,1.45,0.16,0.97,1.77,0.48
Sergi,CB,0.1,0.05,0.33,0.0,0.02,0.07,0.38,48.2,83.8,2.24,0.14,0.14,0.48,0.05,1.19,1.43,1.19,5.82,1.53
Seydouba Cissé,MF,0.13,0.07,0.69,0.0,0.02,0.08,1.58,41.34,84.0,3.98,0.95,1.45,0.76,1.64,1.96,0.44,1.01,1.58,0.88
Yvan Neyou,MF,0.06,0.03,0.73,0.06,0.01,0.04,0.98,40.78,85.1,3.37,1.04,0.86,0.31,0.98,2.51,1.04,1.29,1.59,0.8
Valentin Rosier,FB,0.0,0.01,0.37,0.06,0.03,0.04,0.87,39.77,76.3,1.55,1.18,0.93,0.74,2.48,2.85,1.61,1.05,5.64,0.93
Matija Nastasić,CB,0.06,0.01,0.13,0.0,0.0,0.01,0.19,35.05,81.7,2.27,0.0,0.06,0.32,0.0,1.04,0.84,2.14,7.13,1.36
Miguel,FW,0.0,0.16,1.65,0.2,0.09,0.25,1.32,12.73,54.4,0.86,0.79,0.53,3.1,4.55,0.79,0.2,0.79,1.19,1.72
Juan Cruz,AM,0.27,0.1,1.54,0.07,0.11,0.21,2.01,30.71,66.0,2.61,2.54,1.87,1.87,5.55,1.14,0.6,0.67,1.34,0.33
Javi Hernández ,FB,0.0,0.01,0.37,0.07,0.07,0.09,1.11,37.67,72.9,2.29,1.48,0.67,0.74,3.48,1.41,1.26,1.18,4.29,0.89
Renato Tapia,MF,0.08,0.02,0.39,0.0,0.01,0.03,0.62,42.86,75.5,2.41,0.78,0.62,0.47,0.85,2.41,0.85,2.72,3.88,1.4
Adrià Altimira,FB,0.0,0.01,0.39,0.0,0.0,0.01,0.58,30.32,77.3,2.03,1.36,0.78,0.1,2.52,2.62,1.16,0.87,3.68,0.87
Darko Brašanac,MF,0.08,0.12,0.65,0.16,0.02,0.14,1.7,28.24,76.4,2.35,0.24,0.08,1.79,2.6,1.3,0.97,1.14,2.43,1.22
Dani Raba,MF,0.0,0.06,1.29,0.47,0.26,0.32,5.41,28.59,64.2,2.59,2.47,2.35,1.53,4.71,2.35,1.06,1.18,0.94,0.24
Óscar Rodríguez Arnaiz,AM,0.12,0.12,1.76,0.35,0.12,0.23,2.81,36.33,69.0,3.4,1.41,1.64,1.29,3.28,2.7,1.29,0.59,1.41,1.05
Jorge Sáenz,CB,0.12,0.05,0.12,0.0,0.01,0.06,0.83,49.26,82.5,1.42,0.36,0.0,0.36,0.0,2.25,1.54,1.42,8.17,2.37
Enric Franquesa,FB,0.15,0.04,0.44,0.0,0.01,0.06,0.88,32.87,70.2,1.75,1.61,1.31,0.88,4.38,2.48,0.73,1.02,1.75,0.73
Munir El Haddadi,AM,0.19,0.09,1.3,0.0,0.11,0.21,1.49,23.66,66.9,2.24,0.75,0.56,0.93,3.91,2.05,0.0,1.12,0.19,1.3
