PlayerName,Pos,Non_Penalty_Goals,npxG_Non_Penalty_xG,Shots_Total,Assists,xAG_Exp_Assisted_Goals,npxG_plus_xAG,Shot_Creating_Actions,Passes_Attempted,Pass_Completion_Percentage,Progressive_Passes,Progressive_Carries,Successful_Take_Ons,Touches_Att_Pen,Progressive_Passes_Rec,Tackles,Interceptions,Blocks,Clearances,Aerials_Won
Maghnes Akliouche,AM,0.21,0.28,2.31,0.35,0.32,0.6,4.41,46.51,79.2,6.58,4.34,1.96,5.81,8.61,2.1,0.63,0.77,0.28,0.14
Mahdi Camara,MF,0.18,0.12,1.53,0.12,0.09,0.2,2.5,39.87,86.2,3.66,1.77,1.1,2.32,3.11,3.18,1.04,1.65,1.04,0.61
Malang Sarr,CB,0.0,0.03,0.48,0.0,0.02,0.03,0.96,52.18,89.3,2.23,0.16,0.0,0.8,0.16,1.12,1.6,1.28,3.35,0.8
Malick Fofana,AM,0.27,0.24,1.97,0.27,0.14,0.39,2.69,35.86,76.8,3.14,5.74,1.34,5.65,11.03,1.34,0.63,0.72,0.54,0.09
Mama Samba Baldé,FW,0.21,0.25,2.21,0.11,0.11,0.36,3.15,19.66,71.1,1.37,2.73,1.26,4.52,8.2,0.84,0.63,0.42,1.26,2.63
Mamadou Sarr,CB,0.0,0.01,0.15,0.07,0.01,0.04,0.52,60.27,92.6,1.7,0.22,0.67,0.37,0.07,1.41,1.04,0.81,3.85,1.18
Marco Asensio,FW,0.29,0.82,3.79,0.58,0.39,1.21,5.39,48.79,86.9,5.24,2.77,0.58,5.83,7.14,0.58,0.0,0.15,0.15,0.15
Marcus Coco,FB,0.0,0.0,0.16,0.16,0.08,0.08,1.77,53.77,82.3,4.03,1.13,0.16,0.16,3.7,3.22,0.97,1.45,2.74,1.13
Mark McKenzie,CB,0.06,0.05,0.23,0.0,0.02,0.07,0.51,47.6,84.1,3.39,0.28,0.17,0.45,0.17,2.09,0.79,1.07,4.29,1.36
Marquinhos,CB,0.0,0.03,0.41,0.0,0.05,0.08,1.87,97.0,94.4,7.57,1.71,0.24,0.57,0.24,1.55,0.57,1.3,3.34,1.87
Marshall Munetsi,MF,0.21,0.21,1.7,0.11,0.11,0.31,2.18,20.43,68.5,1.38,0.43,0.32,3.19,2.55,1.91,0.9,1.44,1.86,2.18
Mason Greenwood,AM,0.47,0.28,3.4,0.16,0.2,0.48,3.98,45.16,78.0,4.55,4.13,2.04,4.6,9.26,1.52,0.42,0.16,0.26,0.21
Massadio Haïdara,FB,0.0,0.03,0.65,0.0,0.01,0.04,0.65,47.07,77.2,4.27,1.68,0.52,0.78,3.88,1.03,1.42,0.52,4.66,1.29
Mathias Pereira Lage,AM,0.16,0.13,1.65,0.33,0.2,0.33,2.31,27.69,61.9,1.81,1.32,0.33,1.98,5.27,2.31,1.15,0.99,1.81,2.47
Mathieu Cafaro,MF,0.12,0.18,2.83,0.0,0.16,0.34,3.07,29.39,72.0,1.97,2.34,0.86,3.32,6.27,1.23,0.86,0.86,0.37,0.37
Mathis Amougou,MF,0.0,0.05,0.73,0.0,0.04,0.08,1.78,31.54,77.1,3.77,0.84,0.52,0.94,1.78,2.2,1.26,1.05,0.42,0.31
Matthis Abline,FW,0.28,0.27,2.78,0.06,0.13,0.4,2.21,17.66,71.1,1.82,2.33,1.25,5.22,5.85,0.4,0.11,0.45,1.42,1.48
Maxence Caqueret,MF,0.0,0.11,1.1,0.0,0.06,0.17,2.2,53.87,79.9,7.85,2.2,1.1,1.73,2.36,3.3,1.1,1.88,0.31,0.16
Melvin Bard,FB,0.09,0.13,0.94,0.0,0.04,0.17,1.31,48.94,73.8,3.47,2.06,1.03,1.22,2.91,3.0,1.13,1.59,3.0,1.03
Michael Amir Murillo,CB,0.0,0.05,0.59,0.12,0.12,0.17,1.96,66.82,88.7,5.05,1.13,0.54,1.13,3.33,1.96,0.71,0.65,2.56,1.61
Mickael Nade,CB,0.09,0.06,0.26,0.09,0.03,0.09,0.69,57.65,88.5,3.27,0.86,0.17,0.52,0.09,2.84,1.81,1.63,4.13,1.2
Mikayil Ngor Faye,CB,0.0,0.05,0.6,0.0,0.0,0.05,0.45,69.08,88.5,4.52,1.66,0.3,0.9,0.6,1.81,1.35,0.75,3.76,1.2
Mitchel Bakker,FB,0.32,0.34,2.08,0.16,0.16,0.5,2.88,54.83,79.9,3.84,3.52,1.12,3.36,8.63,2.72,1.44,0.64,1.44,0.48
Modibo Sagnan,CB,0.12,0.04,0.58,0.0,0.03,0.08,0.58,40.86,87.8,1.97,0.64,0.46,0.98,0.12,2.6,1.39,1.16,5.04,1.79
